;DS_P12A_1;DS_P12B_1;DS_P12C_1;ciuo_cod;ciuo_cod2
16;manipuladora de alimentos;manipuladora de alimentos;hogar de niÒos;;
311;manipuladora de alimentos;preparacion de alimentos;jardi≠n infantil;;
630;manipuladora de alimentos;preparar la alimentacion para las personas;NA;;
743;manipuladora de alimentos;cocinar;fabrica;;
824;NA;NA;NA;NA;NA
825;NA;NA;NA;NA;NA
1189;manipuladora de alimentos;cocinar;alimenta en la escuela;;
1257;manipuladora de alimentos;cocinar;colegio;;
800;mantencion de cada y jardi≠n;limpieza de la casa y riego de jardi≠n;casa particular;;
829;NA;NA;NA;NA;NA
253;mantencion de maquinas;mantencion de maquinas;NA;;
909;mantenedor;mantenimiento de maquinaria;fabricacion de maquinaria;;
889;mantenimiento;tractorista,podador;NA;;
662;mantenimiento en consultorio;hacer aseo y reparar lo que fuere necesario;dar salud a los de la comunidad;;
1073;mantenvion gas;suprrvisor;suprrvisor;;
1172;manupuladora de alumrntos;cocinar;sala cuna y jardin infantil;;
836;NA;NA;NA;NA;NA
837;NA;NA;NA;NA;NA
41;maquinista;maquinista;NA;;
367;maquinista aserradero;buscar palos en el monte;aserradero;;
1175;marino mercantil;ayudante de maquinaria;naviera;;
841;NA;NA;NA;NA;NA
90;matrona;matrona;cli≠nica;;
162;mayor domo;supervisar a la gente y las maquinas y recibir tecnicos y trabajos que de hacen;edificio;;
308;mecanica;mecanica;mecanica;;
845;NA;NA;NA;NA;NA
351;mecanica;NA;mecanica;;
847;NA;NA;NA;NA;NA
460;mecanica;arreglar uto;arreglo de auto;;
468;mecanica;arregla maquinaria pesada;caminos alcantarilla. contrucion.aregla maquinaria;;
590;mecanica;reparacion de maquinaria;mineri≠a;;
517;mecanica automotriz;reparacion de vehi≠culos;mecanica automotriz;;
128;mecanico;reparaciones de feenos;taller mecanicos;;
651;mecanico;duelo de un taller mecanico;mecanica en general;;
843;mecanico;arreglo vehiculos;privada;;
994;mecanico;mecanica genera;taller mecanico;;
1147;mecanico;mantenimiento de tunel;empresa;;
218;mecanico industrial;reparacion de moldes;fabrica de rubos;;
1087;mecanico motores diesel;mecanico;dueno maestranza;;
771;medico;NA;controles de salud, entre otros.;;
860;NA;NA;NA;NA;NA
360;microempresarios;microempresarios;camiones;;
597;mineri≠a;manejar maquinaria pesada;mineri≠a;;
929;mineri≠a;operario maquinas;mineri≠a;;
213;minero;mineri≠a;NA;;
865;NA;NA;NA;NA;NA
866;NA;NA;NA;NA;NA
870;minero;sacar carbon;minera;;
732;minero operador maquinarias;operador maquinas;minera;;
146;motocierrista;cortar arboles;exportaciones de madera;;
275;mucama;aseo habitaciones;complejonturistico;;
705;naestro carpintero;rtar madera ckavar farrar fuera y detrode una casa;constructora inmobkliaris;;71
190;nana;cuidado de niÒos;NA;9111;91
873;NA;NA;NA;NA;NA
462;nana;cuida niÒos;casa particular;9111;91
848;nana;cinar lavar;casa particular;9111;91
293;nana  y servicios  domestico;cuodar niÒos aseo y mantencion de esto;trabaja casa particular;9111;91
1025;normalista;profesora normalista;escuela publica;;
139;obras civiles;contraccion;mineri≠a;;
879;NA;NA;NA;NA;NA
1286;obrera en la cocacola;empaque;venta de bebidas;;93
424;obrero;mesclas;contrucion;;93
882;NA;NA;NA;NA;NA
563;obrero;aparadora;venta de calzado;;93
755;obrero;cargador;pesquera;;92
1121;obrero;obrero;construccion vivenda;;93
1126;obrero;colocando caÒeri≠as;constructora;;93
1370;obrero;maestro de construccion;contructora;;93
408;obrero agricola;limpieza de campo faenas agricolas;fundo agricola;;92
523;obrero agri≠cola;siembra despaste poda;agropecuaria;;92
890;NA;NA;NA;NA;NA
797;obrero agricola;podas;fundo particular;;92
803;obrero agri≠cola;cuidar el campo;empresa agri≠cola;;92
894;obrero agri≠cola;tractorista,riego;NA;;92
923;obrero agri≠cola en el campo;riego, siembra cosecha;huerto agri≠cola;;92
542;obrero aserradero;aserrear maderas;NA;;92
1377;obrero calificado;construccion;construccion;;93
153;obrero construccion;carpintero y ceramico;construccion;;71
165;obrero construccion;trabajar en obra construccion;NA;;93
899;NA;NA;NA;NA;NA
900;NA;NA;NA;NA;NA
1280;obrero construccion;NA;NA;;93
521;obrero de agro fruti≠cola;preparacion de suelo para siembras poda y plantacion  de arboles;agro fruti≠cola;;92
1289;obrero de la construccion;construccion;obrero de la construccion;;93
904;NA;NA;NA;NA;NA
314;obrero en construccion de estructuras metalicas;soldar;presta servicio agricola;;93
1364;obrero fabrica;chofer de camion;fabrica de madera;;93
907;NA;NA;banco;96;96
794;obrero foresta;obrero forestal;motodierrista forestal;;92
717;obrero forestal;obrero;empresa forestal;;92
983;odontologa;el cuidado de los dientes;NA;;
286;oficial 2do.;atencion publico;poder judicial;;
465;ooeraria de produciion;maquinaria;productos quimicos;;
112;operador;operador;fabrica de plasticos;;
1323;operador;enbalar productos;distribuir repuestos;;
1256;operador de conectividad;intelador de tv clave;NA;;
647;operador de gri∫a;operador de gri∫a;operador de gri∫a;;
1290;operador de maquinaria;operador de maquinaria;operador de maquinaria;;
918;NA;NA;NA;NA;NA
1321;operador de maquinaria;manejar maquinaria;mineria;;
817;operador de maquinaria ,cargador frontal;maneja una maquina hidraulica ,carga trozo;empresa forestal;;
1353;operador de repuestos;delegar repuestos de mecanico;repuestos automotrices;;
1059;operador geologi≠a;mantener maquinaria minera;geologi≠a;;
1339;operador gtuda;operador grua;venta matetia consttucciom;;
436;operadora;mujti funcional;casi no de juegos de asar;;
234;operaria;empaque;tabaco o cigarrillos;;
926;NA;NA;NA;NA;NA
378;operaria;operaria;cocineria;;
648;operaria;operario;textil;;
963;operaria;obrera;fca textil;;
1062;operaria;maquinaria;fabrica de textu;;
1081;operaria;operaria;bodegas;;
1116;operaria;envases;conservera;;
1272;operaria;limpiar estampados;fabrica de etwuetas;;
332;operari≠a de bodega;pikin.;etiquetan productos despachos .pikin;;
219;operaria de maquinaria;operaba una maquina que envasava;fabricacion de envases de pasta dental;;
936;NA;NA;NA;NA;NA
846;operaria de oeiducikn;suoervusar gente;NA;;
613;operaria de paking;digitadora de bodega de insumos;exportacion de frutas cerezas duraznos ciruelas peras quihuis;;
157;operaria fabrica de carton;ardenar  y hacer tipos de diseÒos;manufucturera;;
450;operario;operaria;operaria;;
668;operario;operador de maquinaria;importan boldo;;
942;NA;NA;NA;NA;NA
943;NA;NA;NA;NA;NA
944;NA;NA;NA;NA;NA
833;operario;disttibuciln de personal;fabricacion de pizarreÒo;;
946;NA;NA;NA;NA;NA
1119;operario;operario de produccion;bodega de alimentos;;
1324;operario;enbazar;repuestis celulares;;
1254;operario de calzado;operario;calzado fabricar;;
997;operario de maquinaria;operario de maquinaria;ventanas aluminio;;
209;operario fabrica confeccion;NA;NA;;
952;NA;NA;NA;NA;NA
1036;operario lavanderi≠a;lavar y planchar;lavanderi≠a;8157;81
652;operario minero;chofer camion gri∫a;mineri≠a;;
163;operario portuario;descargar container;puerto;;
1373;operario produccion;NA;NA;;
198;optica;tenia vidrio de lentes;hacia lentes;;
958;NA;NA;NA;NA;NA
254;pamedico;atender pacientes;salud;;
340;panificador;dueÒo de panificador supervisar a sus empleados;hacer pan;;
381;panificador;panificador;panaderi≠a;;
608;panificador;hace pan;pan;;
660;panificador;hacer pan;panaderia;;
1096;panificador;hacer pan;panaderia;;
216;paradocente;inspectora de patio;educacion;;
1380;paradocente;ayudar a los profesores en el colegio;NA;;
3;paramedico;cuidados y atencion integral de pacientes;atencion de pacientes;;
118;paramedico;ayudar a los enfermos;salud;;
256;paramedico;cuidar pacientes uti;salud;;
1236;paramedico;arcenalera;mutual de la seguridad asich;;
1285;parvularia;cuidar  y eeucar los niÒos del jardi≠n infantil;jardi≠n infantil;;
928;pasar pelota;pasar pelota;escuela de futboÒ;;
292;pasteleria;pasteleria;produccion;;
466;pedagogi≠a diferencial;apoyar a niÒos con discapacidad;educacion;;
1129;peluquera;peinar;peluqueria;;
976;NA;NA;NA;NA;NA
479;peluqueria;peluquera;propia;;
537;peluqueri≠a;cortar el pelo;NA;;
663;peluqueri≠a,corte de cabello;trabajos de peluqueri≠a en general;atencion de pi∫blico.cortar cabello;;
405;pequeÒo agricultor;cria animales y hace huerta;act agricolas;;61
411;pequeÒo sgricultos;crian animales , siembrab, entrega de leche;parcela agricola;;
908;periodista;hacer informes;salud;;
379;pescador;pescador artesanal;NA;;62
593;pescador;pescador;pescadores;;62
598;pescador;sacar mariscos;mariscos;;62
986;NA;NA;NA;NA;NA
987;NA;NA;NA;NA;NA
604;pescador;sacar mariscos;mariscos;;62
872;pescador;por scador;propia;;62
950;pescador;pescador;NA;;62
374;pescador y buzo;pescador;NA;;62
1154;pintor;pintar casas;pinturas de hogar;;
684;pioneta;repartir alimentos;reparte alimentos a casino;;
303;planes municipales del gobierno;taller del hospital;NA;;
1131;planificacion;nuevos negocios;ing electrica;;
1332;podar.cosechar.supervisar;supervisar .cosechar;empresa agricola;;
664;prensista calificado;operario;facturera dd papel;;
1311;preparaba a las asistentes dentales;enseÒaba y capasitaba al personal;iÅrea dental;;
321;preparacion de alimentos;atencion de publico;carrito de alimentos;;
272;prestar servicios de manipulacion de alimentos;preparacion de alimentos a niÒos;servicios de manipulacion a junaeb;;
1001;NA;NA;NA;NA;NA
701;productora de eventos;NA;eventos todo tipo matrimonio bautizo etcetera;;
768;proempleos;areas verdes pintura muro ceramica construccion pegar alfombras;programas de emergencia;;
461;profesional asesor;gestion y control de personal;administracion de hospital enbsalud;;
267;profesor;educar;educacion colegio;;
959;profesor;docencia;educar;;
227;profesor basico;educar alumnos;educacion;;
888;profesor de aula;enseÒar a los niÒos;servicios educativos;;
172;profesora;educar;colrgio;;
215;profesora;enseÒanza;profesora;;
1011;NA;NA;NA;NA;NA
264;profesora;educar y enseÒar a niÒos;colegio;;
476;profesora;educar;colegio;;
535;profesora;educacion;profesora de educacion basica y baile;;
857;profesora;profesora;universidad;;
972;profesora;en colegio pi∫blico y privado;educacion;;
992;profesora;enseÒsr;colegio;;
1066;profesora;hacer claces;escuela;;
1093;profesora;profesora;escuela;;
1274;profesora;profesora;profesora;;
1021;NA;NA;NA;NA;NA
675;profesora de educacion especial;hacer clases;educacion prebasica;;
415;profesora enseÒanza basica;educar;escuela basica;;
508;prorfesir independiente;prifresor;prifesor;;
775;publicidad;disrÒo;NA;;
1009;publicidad ketrero mantencikn;NA;NA;;
974;raleo cosecha en un fundo;raleo cosecha;empresa agri≠cola;;
510;recepcionista;atender personas cuando llegan, tramites administrativos;NA;;
182;recolectar. basura;recoleccion;NA;;96
319;recursos humanos;manejar una plataforma documental;construccion;;
536;redera;coser redes pesqueras;pesquera;;
239;repartidor;repartir mercaderia;coca cola;;96
458;repartidor;repurtifor de mercaderia;venta de zapatos;;96
676;repinedor de supermercadi;reponer mer aderia;supermercado;;
1035;NA;NA;NA;NA;NA
116;reponedor;reponer;abc din vende electrodomesticos;;
287;reponedor;reponer productos;supermercado;;
399;reponedor;reponer meaeeria;supermercado;;
1375;reponedor;reponer en supermercados;NA;;
626;reponedora;reponer productos en las repisas o estantes;comercio en construccion y hogar;;
1041;NA;NA;NA;NA;NA
255;reponedora de mercaderi≠a;ordenar mercaderi≠a;comercio;;
1043;NA;NA;NA;NA;NA
1044;NA;NA;NA;NA;NA
842;reponedora de supermercados;ordenar mercaderi≠a;supermercados;;
1155;reponedora en un supermercado;reponer la mercaderi≠a que me indican;empresa de supermercado venta de alimentos;;
150;reposteria;fabricar y elaborar pasteles y tortas;pasteleria;;
1048;NA;NA;NA;NA;NA
1049;NA;NA;NA;NA;NA
1350;representante tecnico;mantencion de equipos medicos;venta de equipos medicos;;
141;repsracion de bicicletas;reparar bicicletas;taller de reparscion;;
1052;NA;NA;NA;NA;NA
1053;NA;NA;NA;NA;NA
1054;NA;NA;NA;NA;NA
343;residencial;agendes los huespedes;hostal;;
1056;NA;NA;NA;NA;NA
309;revisora de medicamentos;revisar medicamentos para ser envasados;laboratorio;;
1058;NA;NA;NA;NA;NA
1086;riego automatico;encargado del riego automatico;agri≠cola fruti≠cola;;
1309;riteil ventas;servicio al cliente;ventas;;
1061;NA;NA;NA;NA;NA
387;sacando papas;sacando papas;es particular dueÒo de campo;;
1047;salud;NA;NA;;
1064;NA;NA;NA;NA;NA
84;secretaria;actividades administrativas;consultora arquitectura;;
108;secretaria;NA;NA;;
1067;NA;NA;NA;NA;NA
271;secretaria;recepcion de materiales;empresa de buses;;
288;secretaria;secretaria;secretaria;;
1070;NA;NA;NA;NA;NA
392;secretaria;atencion publico;municupalidad;;
422;secretaria;atender telefono, administracion;consulte medica;;
528;secretaria;secretaria;secretaria;;
627;secretaria;secretaria;asesoria juridica;;
1137;secretaria;secretaria;agencia de viajes;;
1180;secretaria;organizar documentos;lavanderia;;
620;secretaria abogado;papeles atencion pi∫blico;soluciones problema judicial;;
1361;secretaria de gerencia;revisar y coordinar reuniones;telecomunicaciones;;
317;secretaria de un colegio;atender apoderados;educacional;;
1248;secretaria ejecutiva;NA;NA;;
1240;secretaria funcionaria publica;llevar documentos;administra un departsmento hobierno;;
443;secretaria oficina de abogados;secretaria;secretaria oficina de abogados;;
1146;secretaria pos venta;acojer los reclamos de los clientes gestionar agenda de repacion;automotora;;
97;secretaria textil;revisar importaciones;textil;;
1233;secretario;administrativa;administrativa;;
122;seguridad;seguridad en tiemda;seguridad;;54
1071;seleccionadora;NA;NA;;
982;seleccionadora de fruta;seleccionar la fruta en conserva;empresa agri≠cola;;
752;seleccionadora de frutas;seleccionar la fruta de exportacion;empresa envasadora de frutas;;
711;semillera de investigacion;investigar;investigacion de choclos;;
1091;NA;NA;NA;NA;NA
1092;NA;NA;NA;NA;NA
729;separador la basura del alimento;separador basura;frigoirifco;;96
818;sereno guardia de seguridad;cuidar;empresa de seguridad;;54
161;servicio de la mujer;NA;scretaria;;
457;servicio de salud;servicio de salud;servicio de salud;;
446;servicio de salud pi∫blica;tecnico en enfermeri≠a;atencion de pacientes;;
673;servicio domestico;hacer aseo lavar planchar cuidar niÒos;casa particular;;
1253;servicio domestico;hacer comida y lavado;labores de casa e. domicilio particular;;
634;servicio ge eral pintor del ejercito;una fui pintor todo lo que era pintura, y despues sub gerente de club de campo de sub oficiales;ejercitode chile empleado fiscal;;
855;servivio;reparte boletas de agua;servicio;;
798;sgricultor;cosecha de papas;sembrar;;
971;sicologa;intervencion clinica;educacion;;
1174;sicologo;NA;NA;;
1105;NA;estucar, obrero calificado;NA;8171;8171
1184;sicopedagoga;sicopedagoga;independiente;;
189;singerista;simgerista;costura;;
1108;NA;NA;NA;NA;NA
1109;NA;NA;NA;NA;NA
1110;NA;NA;NA;NA;NA
1111;NA;NA;NA;NA;NA
1112;NA;NA;NA;NA;NA
1113;NA;NA;NA;NA;NA
1114;NA;NA;NA;NA;NA
995;singuerista;singuerista;consturas en la casa;;
224;soldador;trabajar con fierros hace cerco;soldaduras;;
784;soldador;soldador;construccion;;
1118;NA;NA;NA;NA;NA
1076;soldador;soldador industrial;minera;;
1090;soldador;soldaduta hierro;hierro;;
1072;soldadura;NA;NA;;
1122;NA;NA;NA;NA;NA
1123;NA;NA;NA;NA;NA
1079;sou mueblista diseÒo;diseÒo mieble;diseÒo muenle;;
179;soy jubilado antes era obrero en una empresa privada;acarrear material;comercial;;93
1214;subgerente;entregar educacion;educacion;;
202;subrogante;atencion publico;fonasa;;
1128;NA;NA;NA;NA;NA
1157;superv8sor en supermercado;supervision de personal;supervisaba personal;;
1130;NA;NA;NA;NA;NA
66;supervicion y otros;NA;personal bien vestido, tener llaves de lockers, administrar bodegas, creaciones de piochas;;
26;supervisas bodega mantencion;supervisora bodega mantencion logistica;transferencia de carga;;
1133;NA;NA;NA;NA;NA
159;supervision y contabilidad;llevar la contabilidad del producto;empresa productora de champinones;;43
152;supervisor de control mari≠timo;NA;NA;;
792;supervisor de guardia de seguridad;vigilancia;seguridad;;54
493;supervisor logi≠stica de mineri≠a;dirigir produccion de trabajo;mineri≠a;;
1039;supervisor mineri≠a;dirigir equipos de trabajo;mineri≠a;;
1050;supervisor transportes;despachador de carga;transporte;;
1140;NA;NA;NA;NA;NA
71;supervisora;supervisar cajas en supermercados;supermercados;;
262;supervisora;supervisora;laboratorio;;
1330;supervisora de calle center;supervisar;tranporte;;
1080;supervisora terreno empresa seguridad imdustrial;supervisar;seguridad industrial;;
398;suplementera;atender kiosco;quisco diarios;;
1159;taller agricultura;venta herramientas;taller;;92
1019;taller de confeccion;confeccuon en controk de calidad;tallet de vonfecciin;;
1045;taller de publicidad;administrar el taller y es  dueÒo;hacer y crear publicidad;;
63;tapicero;tapicero;tapiceri≠a;;75
69;tapicero;tapicero;tapiceri≠a;;75
27;taxista;taxista;taxista;;
628;taxista;conductor;NA;;
938;taxista;taxita;trasporte;;
981;taxista;transporte de pasajeros;transporte;;
201;tec de enfermedad;asistirs a paciene;salud;;
259;tec electrico;instalacion de lineas electricas;electricidad;;
1352;tec enfermeri≠a;atender enfermos;salud;;
1069;tec.paramedico;atender pacientes;salud;;
914;tecnico;atencion de publico;NA;;
1160;NA;NA;NA;NA;NA
273;tecnico cuidado de enfermos;cuidadora de enfermos;velar cuidado de enfermos;;
1162;NA;NA;importacion y distribucion de ceramicas y otros materiales similares;96;96
96;tecnico de laboratorio;recibir muestras;salud;;
1303;tecnico de laboratorio;vee el proceso de geneticas molecular;instituro de salus publica;;
1313;tecnico de pos venta;visitas a los medicos;ventas de equipos medicos;;
1166;NA;NA;NA;NA;NA
297;tecnico electrisista actualmente jubilado;reparacion e instalacion electrica;reparacion e instalaciones  electricas;;
1168;NA;NA;NA;NA;NA
1320;tecnico en artefactos a gas;reparaba los artefacto;fa vb tocaban los artefactos;;
337;tecnico en educacion parvularia;esucar;escuela de lenguaje;;
335;tecnico en enfermeria;tecnico en fafmacia entregar remedios;hospital san pedro los vilos;;
606;tecnico en enfermeria;salud;area de salud;;
1216;tecnico en parbulo;enseÒar a los alumnos;educar;;
376;tecnico ene nfermeria;tecnico en enfermeri≠a;hogar de ancianos;;
261;tecnico fundicion;elaborar metales;fundicion;;
316;tecnico paramedico;atencion a pacientes;hospital clinico;;
1177;NA;NA;NA;NA;NA
1178;NA;NA;NA;NA;NA
1134;tecnico paramedico;atender pacientes;hospital;;
1163;tecnico paramedico;atencion de oacientes;hospital;;
1276;tecnico paramedico;atencion publico area salud;hospitaluzacion domicilisria;;
19;tecnico parvularia;cuidar de niÒos;cuidar y educar niÒo menores de 6 aÒos;;
1261;tecnico profesional;tecnico profesional;empresa tecnologia;;
693;tejedora;hilar la lana y hacer tejidos;vender tejidos de lana de oveja;;
60;tempoorera;cosechaba porotoa;coschar;;
1020;tempore de fruta;cosechar frutas;fruticula;;92
9;temporera;temporera;viÒas;;92
72;temporera;recoger fruta;agricola;;92
279;temporera;empaquetar papas;empresa agricola;;92
1190;NA;NA;NA;NA;NA
1191;NA;NA;NA;NA;NA
1192;NA;NA;NA;NA;NA
1193;NA;carpintero;NA;7115;71
1194;NA;NA;NA;NA;NA
353;temporera;empresa viÒera;cortaba las uvas;;92
1196;NA;NA;NA;NA;NA
394;temporera;packing,,cortar las hojas a frutilla;fundo fruticola;;92
1198;NA;NA;NA;NA;NA
395;temporera;ayudante de cocina;empresa de alimentacion en un fundo;;92
1200;NA;NA;NA;NA;NA
1201;NA;NA;NA;NA;NA
1202;NA;NA;NA;NA;NA
439;temporera;enbaladora;exportacion de fruts;;92
475;temporera;reolectar arandanos;fundo con arandanos;;92
1205;NA;NA;NA;NA;NA
659;temporera;recoleccion de frutas;fundo particular;;92
665;temporera;cortar fruta;agricultura;;92
1208;NA;NA;NA;NA;NA
1209;NA;NA;NA;NA;NA
1210;NA;NA;NA;NA;NA
689;temporera;cosechar;exportacion;;92
913;temporera;corta fruta,raleo, cosecha;fruta empresa;;92
1213;NA;NA;NA;NA;NA
1094;temporera;cortar o cosechar uva;agricultura;;92
1215;NA;NA;NA;NA;NA
1374;temporera;NA;NA;;92
1263;temporera agricola;sacar manzanas cosecha de uvas y arandanos;venta de exportacion de frutas;;92
396;temporero;recolectar fruta;fundo;;92
418;temporero;cosechaba ceresas;agrucila;;92
1220;NA;NA;NA;NA;NA
555;temporero;tomar fruta;fundo;;92
1222;NA;NA;NA;NA;NA
569;temporero;cosechar , podar, regar;exporta fruta;;92
884;temporero;regaba arboles frutales;NA;;92
1013;temporero;NA;NA;;92
916;temporero agricola;poda de planta;empresa agri≠cola;;92
920;temporero agricola;cosecha de fruta;huerto agri≠cola;;92
1347;tengo almacen;vendo abarrotes;NA;;
52;tenia una lavanderia;NA;NA;;13
1103;terapias alternativas;imanes y masajes;terapeuta;;
365;tesoreri≠a;tesoreri≠a;corredora de bilsa;;
453;tia jardin;tec en patvulo;jardkn knfantil;;
1298;tiene negocio;NA;NA;;
328;tipografo;tipografia de imprenta;imprenta;;
533;trabaja como vendedor;es vendedor;NA;;
